"","Participant.Private.ID","Binoc_pos1Size1","Binoc_pos1Size2","Binoc_pos1Size3","Binoc_pos2Size1","Binoc_pos2Size2","Binoc_pos2Size3","Binoc_pos3Size1","Binoc_pos3Size2","Binoc_pos3Size3","Binoc_pos4Size1","Binoc_pos4Size2","Binoc_pos4Size3","Binoc_pos5Size1","Binoc_pos5Size2","Binoc_pos5Size3","Mono_pos1Size1","Mono_pos1Size2","Mono_pos1Size3","Mono_pos2Size1","Mono_pos2Size2","Mono_pos2Size3","Mono_pos3Size1","Mono_pos3Size2","Mono_pos3Size3","Mono_pos4Size1","Mono_pos4Size2","Mono_pos4Size3","Mono_pos5Size1","Mono_pos5Size2","Mono_pos5Size3"
"1",4332728,487,626.25,644.125,436.75,621.125,663.5,613.125,643.25,744.75,595.125,689.5,815,504.125,580.125,650.875,485.625,562.375,719.5,452.5,517.375,671.75,748.625,675.625,733.375,655.625,695,820.25,508,568.125,889.125
"2",4333147,1614.21250000596,1711.42500007152,1812.32499995828,1403.07500001788,1451.73750001192,1605.98750001192,1745.08749997616,1819.93749994039,2107.27499997616,2276.13750004768,2365.17499992251,2340.41249999404,1486.93749994039,1562.8749999702,1713.21250000596,1628.26250004768,1913.82500004768,2085.9375000298,1566.22499999404,1665.47499996424,1834.20000004769,2057.69999998808,2271.9374999702,2274.41249996424,2154.03749999404,2320.78749996424,2602.07500001788,1843.59999999404,1695.15000003576,2169.53749993443
"3",4333569,727.0625,1015.61250007152,1082.96250003576,683.787500023842,1070.125,959.61250001192,1127.73749989271,1020.82499998808,1177.0625000596,1240.26249992847,1094.41249996424,1310.0624999404,708.687499940395,1086.54999995232,1070.52499991655,941.400000035763,987.224999964237,1146.4375000596,679.712499976158,886.187500119209,1065.86249989271,1181.55000001192,1165.46250003576,1465.44999992848,3629.08749997616,1580.21250003576,1476.04999989271,1472.92499995232,1075.27500003576,1207.46249997616
"4",4333590,944.400000000081,1185.81250000009,1795.78750000009,893.662499999919,1093.43750000006,1306.99999999997,1420.69999999995,1597.77500000014,1654.88750000007,1614.70000000007,1684.52499999991,2034.07499999998,948.512500000012,1292.31250000009,1610.03749999995,1086.11250000003,1233.14999999994,1429.625,946.07500000007,938.11249999996,1284.38749999992,1198.2125,1507.38749999998,1608.98750000004,1373.7375,1589.21250000002,1653.79999999997,1116.08749999995,1162.54999999999,1316.66249999998
"5",4334401,662.762500047684,714.837500035763,848.862500011922,558.175000011921,680.925000071526,785.162499964237,670.087499976158,803.174999952316,948.124999940395,836.299999952316,853.350000023842,904.612499952316,679.9375,665.324999988079,875.049999892713,700.374999940395,819.662500083447,926.199999928473,502.57499986887,694.774999916553,798.699999988079,739.074999928474,855.012500047683,933.512499928475,764.899999976158,1008.25,1166.19999992847,787.137500047683,714.337499976158,860.075000047684
"6",4334877,748.412499979138,842.524999976158,989.774999976158,671.899999976158,739.274999991059,844.437500014901,827.312500014901,963.10000000894,1120.02500000596,923.124999985098,1109.13749998808,1061.0000000149,759.45000000298,801.29999999702,989.76249998808,744.899999976158,830.47500000894,885.875000014901,650.837499976158,738.024999991059,761.88750000298,906.27500000596,948.26249998808,1053.33749999106,1003.84999997914,1151.78749999404,1129.3125,801.412500008941,868.050000011921,1094.61249999702
"7",4336146,743.649999999441,903.324999999255,863.174999998883,701.112500000745,681.674999999814,781.224999999627,773.100000002421,825.949999999255,1006.93749999907,857.712499999441,899.650000001304,1167.88750000112,824.325000000186,1303.47500000056,861.300000001676,720.349999999627,792.024999999441,1035.99999999907,1404.86249999888,709.737499999814,716.0625,746.3125,855.612499998883,917.549999999814,833.25,912.387499999255,1004.13749999926,646.099999999627,703.83749999851,845.375
"8",4336342,763.749999999995,806.125000000004,1167.25000000001,659.624999999996,870.499999999992,866.499999999999,757.5,1014.625,1030.25,1180.375,1171.75000000001,1250.99999999999,705.874999999998,890.875,965.249999999997,840.375,947.875000000001,1124.125,765.250000000004,765.125,1134.625,1027.87499999999,1026.75000000001,1128.5,1088.125,1177.12500000001,1382.00000000001,815.37500000001,891.25,1011.25
"9",4339358,859.12499999255,855.61250000447,1007.3125000149,687.47499999404,778.025000013411,902.41250000149,787.5625,999.58750000596,1019.76250001043,888.425000011921,988.80000001192,1204.66250000149,757.037499986589,903.79999999702,1071.83750000596,786.937500007451,849.58750000596,1121.45000001043,804.775000013411,863.02500000596,936.125,870.012499980628,1400.15000001341,1161.09999999404,919.22500000149,980.70000001043,1278.05000001192,926.64999999851,968.58749999851,1097.8125000149
"10",4354253,694.787500001025,837.974999999627,878.862500000279,671.074999999721,735.674999999581,877.025000000139,864.412500000559,857.699999999953,1007.97499999986,937.450000000419,948.137499999954,1151.76250000019,681.40000000014,812.137499999721,828.375000000233,721.949999999488,942.36250000028,963.850000000327,627.950000000652,685.25,824.41249999986,830.262500000186,884.762499999488,1157.73750000028,925.212499999907,984.562499999768,1041.32499999995,728.212499999907,774.53749999986,857.187500000233
"11",4372219,821.412499998696,706.662500000559,878.137500000186,682.037499999627,712.525000000373,830.025000003166,695.087499999441,818.750000000931,972.149999999441,830.062500000931,822.150000001304,1086.26249999925,700.575000000186,707.775000000373,1079.125,629.062499999069,697.012499999255,929.050000002607,529.3125,728.200000001117,1102.31250000093,768.262500001117,1174.36249999888,993.525000000373,967.58749999851,1065.42499999888,1120.23749999981,710.487500001676,794.4375,886.149999999441
"12",4373538,473,517.812500014901,660.46250000596,426.26250000298,527.224999986589,649.28749999404,580.73750000447,708.52500000596,675.82499999553,581.537500008941,662.250000014901,705.42500000447,460.900000005961,572.89999999851,770.612500004471,556.63749999553,644.53750000149,725.54999999702,509.712500005961,614.11249999702,719.48749999702,603.737499989569,649.687499985099,788.274999991059,652.499999992549,705.52500000596,850.375000014901,568.03749999404,637.000000007451,746.72499999404
"13",4379880,948.250000000009,1038.37500000001,1268.50000000001,893.125000000004,931.750000000004,1364.00000000001,1256.875,1108.25,1325.62499999999,1380.25,1234.49999999999,1295.125,992,1125.625,1414.375,898.374999999997,951.750000000004,1008.875,823.375000000002,812.625,1008.5,1055.62500000001,1131.125,1248,1014.5,1276.125,1442.12499999999,849.25000000001,1235.25,1185.00000000001
"14",4381159,894.585000030929,1055.33187501714,1265.61874998151,751.069375008228,894.16875000461,1113.73562502558,1104.64124998543,1349.95312499814,2164.03687500861,1130.52750000497,1501.03062501876,2123.17812500987,762.147500034189,1044.59999997925,1313.42125001538,914.056874986273,1215.95812500163,1337.1193750063,712.713749977411,849.77687499486,1145.58312499139,949.915625009454,1050.3587500134,1669.45437500544,1113.19499998353,1291.24374997628,2215.10000000126,823.829999979353,1087.69437498995,1281.89749996818
"15",4384320,604.162499979139,621.125000014901,737.187500014901,523.612500011921,592.162499979138,792.062499985099,594.787500008941,734.16249999404,833.350000008941,837.4375,747.199999988079,969.175000011921,535.562499985099,631.087500020862,785.5,653.6875,689.512499988079,776.349999979138,545.987500011921,588.712500020862,766.912499979138,780.550000026822,772.437500014901,827.85000000894,729.625,799.200000017881,1168.20000000298,597.774999991059,713.737500011921,814.6875
"16",4392148,843.062500003726,870.525000002235,1025.92499999329,658.23750000447,765.10000000149,870.02499999851,876.125000003725,926.67500000447,1273.43750000373,992.29999999702,1254.58750000223,1363.12499999627,743.000000003725,918.275000002235,1389.86250000075,758.125,933.29999999702,1032.71250000596,675.6875,792.85000000149,878.524999994784,1093.21250000596,1245.53749999777,1601.94999999925,1074.56249999628,1247.99999999627,1628.00000000745,831.1875,1025.17500000075,1232.46250000596
"17",4404605,614.762500000012,659.574999999895,830.6875,553.687500000058,586.399999999965,725.837499999966,755.237500000163,809.900000000023,961.312500000059,828.20000000007,910.987500000047,1076.27499999997,592.912499999977,720.26250000007,969.48749999993,634.687499999971,743.362500000018,848.050000000047,489.787500000064,656.987499999988,789.837499999965,882.787499999977,840.325000000012,958.587499999994,947.300000000017,927.425000000017,1098.85000000004,682.849999999977,780.187499999971,979.612500000047
"18",4408537,718.237500011921,825.824999988079,869.824999988079,595.824999988079,731.287499994039,838.637500047684,1067.17500004172,995.725000023843,1201.13750004768,864.725000023842,1089.47500002384,1229.10000002384,608.725000023842,706.325000077486,892.274999976158,663.125000029802,817.47499999404,1150.05000001192,559.037499934435,651.225000023842,878.94999998808,815.387499988079,838.074999988079,1043.36250004172,848.312499970198,906.250000029802,1042.17500001192,643.612500041723,751.849999964237,900.65000000596
"19",4424285,1025.55000000447,1018.64999999851,1174.33749999478,845.199999999255,1037.22499999404,1257.46249999851,974.41250000149,1192.59999999777,1320.73750000075,1118.68749999627,1357.89999999479,1422.03750000149,851.575000006706,1128.28750000149,1217.23750000447,905.43749999255,1145.04999999702,1200.91250000149,880.237499993294,1133.92500000075,1278.72500000149,1025.52500000224,1245.25,1331.78749999404,1225.97499999777,1344.73750000447,1496.02500000223,992.66250000149,1194.34999999777,1284.56250000373
"20",4429865,873.19625011878,930.391874921042,1393.7525000074,743.816875154153,804.389999946579,1343.18500006338,911.629375012125,1120.28124992503,1179.43937506061,997.271874977741,1058.6343749892,1378.97000001976,862.662500061561,965.768750000279,965.980624954682,709.548124985304,1003.57749999966,1125.86687499424,671.522500109859,2481.18500009878,883.863125054631,848.706250020768,1141.92624983843,1125.43062499026,1238.221250067,1242.31187492842,1438.64187499275,755.169374984689,954.253750038333,1212.50312501797
"21",4443776,1019.76250004768,1026.60000008345,1199.62500005961,812.825000047684,974.037500023842,1063.18750017881,1184.9375,1008.63750004768,1231.33749997616,1130.86249989271,1296.35000002384,1204.47500008345,832.837499916553,1002.88750004768,1112.17500019073,1208.67499995231,1056.57500004768,1224.86249995232,849.112499952316,927.049999952316,1041.46250003576,1024.53749996424,1152.28750002384,1276.40000009537,1170.82499992847,1094.03750002384,1505.47499990463,1041.78749996424,1032.94999992847,1244.22499996424
"22",4445309,851.67499999702,894.287500008941,1001.59999999404,746.387499958277,831.16249999404,890.762500017881,1096.92500002682,942.737500011921,1193.52500002086,961.20000000298,1078.9375000149,1236.58750000596,782.40000000596,990.724999994038,1010.09999999404,941.225000023841,1720.07499998808,1440.88750000298,901.750000014901,974.387500017881,1086.10000002384,1024.97499999404,1145.7500000149,1284.9375,1064.52499999106,1501.03750000894,1380.63749998808,991.112500026821,1063.86249998212,1531.33749999106
"23",4447916,1092.33750000014,1013.27500000002,1394.21249999997,824.587500000081,1175.375,1274.57500000001,1384.48749999999,1774.42499999987,2057.76250000013,1331.58750000003,1584.87500000006,1729.43749999988,1158.51250000019,1631.27500000002,1477.72500000004,1424.47499999998,1486.54999999999,1547.85000000003,1157.66250000009,1272.68749999994,1330.08750000014,1420.1875,1481.66250000003,1697.57500000007,1372.90000000008,1683.46250000008,1734.72500000003,1208.46250000002,1526.76249999995,1568.0500000001
"24",4447985,1057.38750001788,1196.72499993444,1269.58750003576,942.412500053645,1012.40000000596,1094.39999997616,1294.61250001192,1330.63750004768,1397.25,1421.53750002384,1562.3124999702,1700.17500001192,984.350000053643,1055.33750000596,1171.33749997616,1087.59999993444,1145.35000002384,1363.45000004768,909.550000041723,1029.33749994636,1231.0624999702,1305.63749998808,1787.72499996424,1496.36250001192,1543.42500001192,1529.27499997616,1755.4375000596,1008.76250004768,1107.375,1259.41249996424
"25",4448050,1047,1123.125,1229.25,1045.75,1034.625,1152,1315.375,1570.375,1325.125,1201.75,1392.25,1504.625,1154.125,1109.375,1529.125,1052.875,1165.375,1355,998.875,1062.75,1226.25,1397.25,1877.875,1419.125,1362,1495.125,1548.125,1162.5,1185.375,1379.875
"26",4449101,804.387500010431,911.46249999851,1207.3000000082,699.987500000745,833.67499999702,1031.33750000224,871.46249999851,1067.26249999925,1284.13749999925,1034.06249999627,1138.5,1290.22500000521,776.412500005215,1008.03750000149,1074.23750000074,809.57500000298,922.300000000745,958.224999997765,725.099999990314,859.462499994785,975.275000002235,881.48750000447,1008.56250000372,1126.28750000149,925.337500009685,1169.66250000149,1238.66250000149,806.324999999255,914.525000002235,1147.18749999627
"27",4449137,922.424999982119,878.22499999404,1009.16249999404,1063.88749998808,796.41249999404,938.937500000001,923.037500023841,945.6875,1345.35000005364,925.850000023842,1049.64999994636,1310.23750007153,792.449999928475,800.274999916553,1014.86250004172,897.675000011921,922.26250001788,1134.59999996424,779.324999958277,839.187499970198,948.987499952316,907.462499946356,998.087499976158,1204.61249998212,1024.54999998212,1096.40000000596,1287.23749998212,784.762500047684,1006.61249998212,1051.3749999702
"28",4449369,983.399999976159,1110.46249997616,1311.01249998808,942.974999994039,1150.23750001192,1308.78750002384,1146.98750004172,1280.35000005364,1619.33750006556,1348.15000006556,1426.65000003576,1908.1875000298,1055.32499995828,1278.42499998212,1460.38750004769,998.800000011921,1308.52500003576,1372.85000002384,956.212500005959,942.137499988081,1252.9999999702,1180.66249996424,1203.91250002384,1411.07499995828,1237.0625000298,1333.02499997616,1457.70000001788,1016.92499998212,1113.29999998212,1389.96249997616
"29",4449420,1464.66249999777,1659.79999999702,1715.33750000223,1264.08749999851,1354.99999999627,1529.74999999627,1801.85000000149,2016.79999999329,2132.91250000149,2051.67499999702,2053.3874999918,2122.67500000447,1556.61250000075,1564.77499999851,1745.35000000149,1489.20000000671,1731.62500000373,2303.13749999553,1321.47500000521,1415.16249999777,1591.34999999777,1751.17499998957,1892.48749999702,2089.25000000372,2142.27500000224,2018.29999999329,2201.81249999628,1570.59999999777,1410.90000000223,1751.01249999553
"30",4449574,776.274999916554,800.237500011921,916.050000011922,774.812500119209,769.612500071525,1467.82499992848,821.262500047684,1034.55000007153,1034.83750009537,880.762500047683,1027.11250001192,1115.58750003576,933.437500119209,670.575000107288,854.63749998808,845.5,1025.26250004768,1031.86249995232,763.537499904633,775.237500011921,1108.31250011921,1291.625,1459.2500000596,1064.15000003576,1078.35000002384,1075.16249996424,1157.57499992847,701.412500023842,984.037499964237,997.749999940396
"31",4449717,896.4375,1101.05000000075,1172.89999999851,683.474999999627,987.375,1077.73750000075,1078.46250000037,1269.42500000074,1200.16250000335,1090.0625,1261.46249999851,1462.23750000447,955.887499997393,927.92499999702,1023.94999999925,1031.27499999665,1183.5625,1154.33750000037,723.299999998882,956.67499999702,1013.36249999888,1170.18749999814,1116.56250000186,1309.87500000186,1322.83749999851,1635.96249999851,1633.29999999888,944.624999998137,1095.02499999851,1438.46250000037
"32",4450348,598.712499976158,826.312499970198,921.649999976159,596.52500000596,717.087500035763,790.600000053644,723.637499988079,1075.66249996424,971.512499988079,873.3125,935.487500011921,1093.35000002384,584.237500041723,735.975000023842,1158.83750000596,648.749999940395,765.399999976158,1086.08749997616,822.100000053644,841.187500029802,984.72499999404,775.675000041724,854.362499982118,1025.58749997616,803.412499934435,933.28749999404,1095.47499999404,661.312499970198,807.124999970198,1037.47499999404
"33",4450899,964.812500029803,1213.07500001788,1259.21250000596,870.949999988079,1046.6875,1175.30000001192,1129.28749996424,1207.07500001788,1289.98750001192,1225.63750001788,1243.82499998808,1406.42500001192,1132.53749999404,1234.75,1412.0625,1040.8125000596,1141.75,1322.88750001788,841.887499988079,1232.28749999404,1500.8750000298,1138.87499994039,1499.0625,1423.78750002384,1173.28749993443,1274.22500002384,1524.375,1081.79999998212,1157.07499998808,1385.0000000298
"34",4452039,1528.08749999996,1716.67499999999,1730.68750000006,1389.99999999988,1602.62500000006,1862.11250000005,1620.89999999991,1618.47500000003,1826.89999999997,1479.31249999994,1680.14999999991,1893.97500000003,1559.78750000009,1534.2249999998,1707.03750000003,1489.92500000005,1810.5875,1678.47500000004,1494.4625,1626.88750000001,1965.28750000001,1784.78749999998,2172.86250000005,2687.01250000004,1793.01250000001,2298.0625,2314.57500000001,1637.68749999991,2107.29999999999,2318.94999999992
"35",4452506,957.000000000007,1089.25000000001,1118.75,825.875000000011,970.749999999997,1076.37499999999,1017.375,1127.00000000001,1256.50000000001,1111.25,1196.12500000002,1301,972.75,1031.12500000001,1177.125,992.250000000003,1087.5,1157.875,817.750000000004,941.500000000002,1169.25,1082,1205.87500000001,1324.75,1128.625,1239.25,1361.375,1003.25,1080.87500000001,1212.49999999999
"36",4454520,853.262500000187,861.712499999907,942.337500000605,664.71250000014,920.700000000187,1247.57499999972,1065.52500000061,995.88749999972,1192.36250000028,996.550000000512,1185.28749999939,1153.51249999995,899.037500000093,936.300000000047,1193.53749999986,1096.33749999967,1004.03750000033,1082.08750000014,966.724999999861,1041.83749999967,1106.06250000047,988.474999999627,1294.32500000019,1130.29999999981,1094.82500000019,1247.11249999958,1190.65000000014,846.149999999674,1207.46250000014,1055.125
"37",4460944,599.662500005215,676.83749999851,863.5,514.57499999553,700.337499994785,726.937499996275,886.550000000745,861.212500002235,890.712500002235,838.262500006706,782.637499999255,936.162499997765,581.662499997765,716.337499991059,875.025000002235,608.375,682.28750000149,855.949999999255,523.175000000745,708.71250000596,858.04999999702,851.625,889.674999993295,871.900000002235,722.38750000298,856.737500000745,969.437500003725,631.57499999553,653.83749999851,1116.08750000223
"38",4469128,1354.75812500408,1819.71187499949,2061.84937500075,1407.76062500117,1740.07812499985,1884.29749999887,1769.06562499789,2065.70999999895,2289.77562499858,2040.5093749996,2333.94187500198,2441.04062500264,1677.18749999767,1935.09562500003,2172.50937499921,2545.73874999915,2047.03625000184,2736.95624999891,2352.50375000032,1649.15999999721,1888.61124999494,2167.88062499654,2465.73812499992,3604.25625000244,3586.7162500017,2620.47562500084,3098.11312500278,1681.17312499635,1867.84812500264,2076.60687500174
"39",4472380,799.849999979138,885.062499985098,950.062499985099,807.29999999702,824.15000000596,884.325000017882,837.612500011921,977.749999985098,1138.42499995231,909.662499994039,1094.3749999702,1127.16250002384,747.487500011921,915.537500008942,1020.48749996722,795.512500032783,903.712499991059,917.025000020862,775.325000017882,748.124999985099,997.725000023842,814.350000023842,933.600000023842,1060.53750000894,902.58750000596,1000.53750002384,1099.67499999702,802.487500026822,910.350000023842,1051.61249999702
"40",4475413,844.9375,860.949999999721,1097.41250000009,843.650000000373,786.012500000186,1112.88750000112,1394.3124999986,1171.81249999953,1269.125,1172.32499999972,1392.41250000009,1396.75000000047,792,1061.1249999986,1233.22499999963,957.812500000466,1002.93749999953,1323.82499999972,801.400000000372,982.599999998696,1082.47500000009,1068.60000000056,1252.62499999907,1594.97500000009,1213.65000000084,1575.88750000112,1650.37500000047,1571.875,1173.58749999991,1511.82499999972
"41",4476704,885.375,1025,1088.25,885.375,941,1178.5,958.5,1032.75,1256,1097.625,1200.5,1262.75,1217.25,1038.375,1111.75,1069.375,1049,1325,898,1017.125,1095.625,1060.625,1188.5,1346.875,1151.625,1229.75,1368.125,1023.125,1061.875,1182
"42",4482002,1328.125,1460.125,1732,1479.625,1302.25,1500.375,1570.375,1943.125,1758.625,1676,1848.75,1993.375,1496.5,1266.625,1663.875,1589.875,1997.75,2102.75,2064.625,1373.75,1620.125,1572.625,1790.625,2148.75,1779.75,1980.5,2101,1531.25,1471.5,1724.75
"43",4488838,756.162500005215,903.612500000745,1172.29999999888,651.912499999627,783.137499999255,971.60000000149,846.8125,1041.31249999814,1038.56250000186,957.312500001863,1121.07500000112,1229.48749999888,796.125,1081.33750000037,1051.375,810.912499999627,931.899999996647,1029.13750000298,839.762500001117,833.324999999255,945.749999998137,1059.84999999776,1268.63750000298,1279.91249999404,1014.46250000037,1214.96250000037,1596.38750000112,810.937499996275,953.174999998882,1116.69999999925
"44",4489139,744.34999999404,732.07500000298,1002.7499999851,526.475000023842,601.599999979138,1025.58750000596,779.125000014901,999.887499988079,881.700000002981,745.712499961257,860.087499991059,912.59999999404,712.29999999702,784.67499999702,809.050000026822,908.47499999404,954.6875,1082.27499999106,569.525000020862,732.262499988079,720.725000023842,754.987500011921,745.937500014901,1154.71249999106,740.225000008941,806.362500026822,1002.0624999851,664.375,819.824999988079,1064.75
"45",4491824,817.674999997951,894.362499999814,989.362499998883,727.737500000745,808.000000000931,943.750000000931,965.100000000559,1089.28749999963,1247.67499999888,970.562499998137,1146.82500000112,1165.64999999944,898.47500000149,1003.22500000056,1039.34999999963,1046.31249999907,1296.8375000013,1495.27499999944,988.299999999814,1034.05000000168,1339.41249999963,1326.13749999925,1330.9749999987,3384.64999999851,1422.58749999944,1448.81250000093,2148.72500000149,973.975000003353,1230.87499999907,1546.11249999888
"46",4494914,558.087499996647,626.82500000298,807.699999999255,503.60000000149,526.387500004843,635.912500003353,685.575000004843,750.437500001863,832.125,724.899999996647,745.96249999851,940.47500000149,529.4375,593.287499999627,753.137500001118,574.025000002235,644.20000000298,744.449999999255,533.875000003725,632.824999997392,708.875,686.287499999627,720.03750000149,1034.51249999925,693.362500000745,794.424999998882,992.32499999553,576.79999999702,609.787499999627,881.099999995902
"47",4495135,939.487499952315,962.612499952317,1055.04999983311,857.462499976159,825.024999856949,965.949999928476,1433.83749997616,1369.38749992847,1267.86249995231,2712.8250002861,2038.50000011921,2039.95000004768,815.774999737739,1012.77500021458,1087.22500014305,1083.57500016689,996.824999809266,1171.70000004768,706.800000071526,836.999999761581,1085.36250007153,1266.95000004769,1368.78750002384,1538.05000007153,1617.48749995232,1922.12499988079,2522.64999997616,1138.61249995232,1050.89999997616,1133.73750007153
"48",4495599,924.412499997765,1003.47500000149,1044.68749999627,826.099999995902,1008.13749999925,915.63750000298,941.775000000373,1040.57499999925,1109.83749999665,1085.72499999963,1146.69999999925,1281.76250000298,767.237500002608,1013.72500000149,1030.27500000037,952.95000000298,1775.2125000041,1970.12499999814,1079.76249999926,916.362499998883,1052.91249999963,1091.03750000149,1288.40000000037,1421.88749999925,1199.23749999888,1807.23750000075,1317.42500000075,991.75,1012.70000000298,1169.42499999888
