"","ppid","condition","threshold","percCorrect","threshLower","threshUpper"
"1",1,"Binoc",0.07,0.519230769230769,-0.0378984503903186,0.151713123286329
"2",1,"Mono",0.04,0.519230769230769,-0.0242232578828113,0.0579253268963879
"3",2,"Binoc",-0.12,0.519230769230769,-0.164010860292004,-0.0775672324263749
"4",2,"Mono",-0.1,0.519230769230769,-0.138677498007173,-0.0418046172434698
"5",3,"Binoc",0.02,0.519230769230769,-0.0351577167734531,0.0671286397641213
"6",3,"Mono",0.02,0.519230769230769,-0.0312334711784409,0.0608438182323728
"7",4,"Binoc",0.01,0.519230769230769,-0.0517565025134515,0.0590443361002088
"8",4,"Mono",-0.03,0.519230769230769,-0.0559068223161487,0.0135987199789245
"9",5,"Mono",0.11,0.519230769230769,0.0549610056678964,0.17900475647473
"10",6,"Binoc",-0.12,0.519230769230769,-0.165027904099385,-0.0929648656977302
"11",6,"Mono",-0.21,0.519230769230769,-0.277992258651906,-0.151047554505852
"12",7,"Binoc",-0.28,0.519230769230769,-0.403598761466743,-0.186322616739567
"13",7,"Mono",-0.33,0.519230769230769,-0.447732033052556,-0.239935137888349
"14",8,"Binoc",-0.33,0.519230769230769,-0.365706718170105,-0.289691753228332
"15",8,"Mono",-0.12,0.519230769230769,-0.197098195988933,-0.0568509379707734
"16",9,"Binoc",0.26,0.519230769230769,0.198365879566918,0.32121685795809
"17",9,"Mono",0.24,0.519230769230769,0.175598145360257,0.293570209042918
"18",10,"Binoc",-0.22,0.519230769230769,-0.261812006711314,-0.13311320727092
"19",10,"Mono",-0.32,0.519230769230769,-0.334957335759718,-0.24876138987803
"20",11,"Binoc",-0.03,0.519230769230769,-0.0575032353856541,0.0177577915169191
"21",11,"Mono",-0.05,0.519230769230769,-0.107423453134498,-0.00217861750568171
"22",12,"Binoc",0.03,0.519230769230769,-0.0323838360221276,0.0933727139836169
"23",12,"Mono",0.1,0.519230769230769,0.0504310447233174,0.175436632045688
"24",13,"Binoc",-0.1,0.519230769230769,-0.136076634604001,-0.0593212039156299
"25",13,"Mono",-0.25,0.519230769230769,-0.392385397228669,-0.170265273256704
"26",14,"Binoc",0.1,0.519230769230769,-0.0361982718109841,0.164037932698237
"27",14,"Mono",0.3,0.519230769230769,0.253517030972746,0.35820745918073
"28",15,"Binoc",0.12,0.519230769230769,0.0570228026014987,0.141345213092143
"29",15,"Mono",0.19,0.519230769230769,0.105097184488945,0.22783586911326
"30",16,"Binoc",0.05,0.519230769230769,0.0136438440716552,0.0644654497905065
"31",16,"Mono",0.05,0.519230769230769,-0.0695158986645796,0.152830061030823
"32",17,"Binoc",-0.06,0.519230769230769,-0.131317975760991,-0.00941483315439293
"33",17,"Mono",-0.08,0.519230769230769,-0.142028006286295,-0.0361709454249056
"34",18,"Binoc",-0.04,0.519230769230769,-0.157383330288231,0.0431277794286635
"35",18,"Mono",0.02,0.519230769230769,-0.0378391154996068,0.0610829302714284
"36",19,"Binoc",-0.04,0.519230769230769,-0.0423096989044626,-0.0296899711292043
"37",19,"Mono",-0.04,0.519230769230769,-0.0444095773940868,-0.0336078952840919
"38",20,"Binoc",-0.23,0.519230769230769,-0.365405227573889,-0.139463132535861
"39",20,"Mono",-0.04,0.519230769230769,-0.0988240148112719,0.00677280832800161
"40",21,"Binoc",0.05,0.519230769230769,-0.00500172420731123,0.097539884395684
"41",21,"Mono",0.07,0.519230769230769,-0.000457397218447883,0.119527802308749
"42",22,"Binoc",-0.03,0.519230769230769,-0.0736627766005975,0.019555350452063
"43",22,"Mono",0.04,0.519230769230769,-0.00585212902978598,0.0739785659959888
"44",23,"Binoc",0.04,0.519230769230769,-0.0161112288127307,0.0959475326743661
"45",23,"Mono",0.06,0.519230769230769,0.0572061909842733,0.0724868512724451
"46",24,"Binoc",0.07,0.519230769230769,0.013257834448337,0.114965054519962
"47",24,"Mono",0.16,0.519230769230769,0.0507180765300905,0.30618702323875
"48",25,"Binoc",-0.01,0.519230769230769,-0.0537211832634384,0.0695183693077689
"49",25,"Mono",0.1,0.519230769230769,0.0432364219213669,0.138029131511294
"50",26,"Binoc",-0.03,0.519230769230769,-0.0466846843813089,0.00753317278278697
"51",26,"Mono",0.03,0.519230769230769,-0.030401621310291,0.0568870910436862
"52",27,"Binoc",0.05,0.519230769230769,-0.0282441278149403,0.12003597881697
"53",27,"Mono",0.17,0.519230769230769,0.0612864043234096,0.234152947074829
"54",28,"Binoc",-0.08,0.519230769230769,-0.141788260855126,-0.032443728410167
"55",28,"Mono",-0.04,0.519230769230769,-0.0625563969807577,-0.0384552985975695
"56",29,"Binoc",-0.13,0.519230769230769,-0.201713481041508,-0.0722322788484711
"57",29,"Mono",0.02,0.519230769230769,-0.0892321068177862,0.0793035092218779
"58",30,"Binoc",0.17,0.519230769230769,0.112504270602583,0.24437935726909
"59",30,"Mono",0.17,0.519230769230769,0.0849156270156395,0.234886448345539
"60",31,"Binoc",-0.02,0.519230769230769,-0.0565559178069433,0.0559429123269191
"61",31,"Mono",0.06,0.519230769230769,-0.0429483879535727,0.0981734559236528
"62",32,"Binoc",-0.18,0.519230769230769,-0.231280539190092,-0.14759579822429
"63",32,"Mono",-0.12,0.519230769230769,-0.257838157187909,-0.0405699340664515
"64",33,"Binoc",-0.06,0.519230769230769,-0.128897290109782,-0.0430654173523588
"65",33,"Mono",0.04,0.519230769230769,-0.0280612446715633,0.0770326240476942
"66",34,"Binoc",0.11,0.519230769230769,0.0654774606196381,0.156123166185094
"67",34,"Mono",0.28,0.519230769230769,0.245298362035414,0.31725665676019
"68",35,"Binoc",0.06,0.519230769230769,0.0388628637772464,0.111448932349705
"69",35,"Mono",0.16,0.519230769230769,0.15402844579678,0.174341298914575
"70",36,"Binoc",0.03,0.519230769230769,-0.0184435332844841,0.063592303587401
"71",37,"Binoc",-0.21,0.519230769230769,-0.239335776617542,-0.0884200993162035
"72",37,"Mono",-0.08,0.519230769230769,-0.166666596334633,-0.0348561513172162
"73",38,"Binoc",0.03,0.519230769230769,-0.0635811622849852,0.0748725853114778
"74",38,"Mono",0.04,0.519230769230769,-0.0242232578828113,0.0574612034441961
"75",39,"Binoc",0.16,0.519230769230769,0.0864989019123485,0.225485952796182
"76",39,"Mono",0.14,0.519230769230769,0.0976706237729275,0.165713446091445
"77",40,"Binoc",0.12,0.519230769230769,0.0701236197090421,0.160926869987628
"78",40,"Mono",0.12,0.519230769230769,0.0723260935907743,0.157117499146783
"79",41,"Binoc",-0.03,0.519230769230769,-0.115468652173516,0.0236322434354644
"80",41,"Mono",0.04,0.519230769230769,-0.0320515579107065,0.0888306938966892
"81",42,"Binoc",0.19,0.519230769230769,0.115866099811261,0.245306662346752
"82",42,"Mono",0.56,0.519230769230769,0.417739798801195,0.622338889796334
"83",43,"Binoc",-0.11,0.519230769230769,-0.199119875452171,-0.0290247702796616
"84",43,"Mono",-0.11,0.519230769230769,-0.192312815847638,-0.0131082289864963
"85",44,"Binoc",0.09,0.519230769230769,0.0189192113917384,0.141710602272585
"86",44,"Mono",0.32,0.519230769230769,0.204293251922239,0.364529995908431
"87",45,"Binoc",-0.11,0.519230769230769,-0.177031094334325,-0.0581376388236011
"88",45,"Mono",-0.06,0.519230769230769,-0.125933266465952,-0.0400358863359899
"89",46,"Binoc",-0.29,0.519230769230769,-0.366925082776231,-0.218774393322084
"90",46,"Mono",-0.22,0.519230769230769,-0.263577713489916,-0.146430417067666
"91",47,"Binoc",-0.05,0.519230769230769,-0.13408434257893,-0.00778912574021466
"92",47,"Mono",-0.03,0.519230769230769,-0.0377091292260705,0.0473170456713949
"93",48,"Binoc",0.03,0.519230769230769,-0.0337834419231312,0.0578827646750134
"94",48,"Mono",0.05,0.519230769230769,-0.0260805227854121,0.103636799344078
"95",49,"Binoc",0.03,0.519230769230769,-0.0567088351824014,0.10456125608563
"96",49,"Mono",0.06,0.519230769230769,0.0388628637772464,0.109028027053925
"97",50,"Binoc",-0.13,0.519230769230769,-0.212043298235657,-0.0173914596980235
"98",50,"Mono",-0.08,0.519230769230769,-0.137167107844494,-0.0611704302285836
"99",51,"Binoc",-0.06,0.519230769230769,-0.117404719942691,-0.0420463925869611
"100",51,"Mono",-0.06,0.519230769230769,-0.121296878610128,-0.0369461000207321
"101",52,"Binoc",0.04,0.519230769230769,-0.0186525834837132,0.0579253268963879
"102",52,"Mono",0.11,0.519230769230769,0.0556715712956178,0.12855031433774
"103",53,"Binoc",0.03,0.519230769230769,-0.0379243391798605,0.0862638652322452
"104",53,"Mono",0.1,0.519230769230769,0.00650951024383248,0.157378374144693
"105",54,"Binoc",0.18,0.519230769230769,0.157032224331747,0.249730001486216
"106",54,"Mono",0.12,0.519230769230769,0.0703399033482993,0.161268940898044
"107",55,"Binoc",0,0.519230769230769,-0.0440812795792433,0.0570548409402261
"108",55,"Mono",0.09,0.519230769230769,-0.0267777722785193,0.159606334426164
"109",56,"Binoc",-0.2,0.519230769230769,-0.256594228855371,-0.137502334385531
"110",56,"Mono",0.01,0.519230769230769,-0.0488477740323488,0.0682270888975811
"111",57,"Mono",0.1,0.519230769230769,0.0473896363495247,0.137548567288713
"112",59,"Binoc",-0.1,0.519230769230769,-0.193263409889126,-0.0335137459437612
"113",59,"Mono",0.04,0.519230769230769,-0.0556814557807273,0.118259578020985
"114",60,"Binoc",0.03,0.519230769230769,-0.110452067477503,0.0823444875067005
"115",60,"Mono",-0.14,0.519230769230769,-0.173653714114422,-0.13132809227157
"116",61,"Binoc",0.03,0.519230769230769,-0.0337834419231312,0.0578678911965103
"117",61,"Mono",0.05,0.519230769230769,-0.0337924928877103,0.0717837866168965
"118",62,"Binoc",0.05,0.519230769230769,-0.0408827960630569,0.0943402155002766
"119",62,"Mono",0.08,0.519230769230769,0.0326113319115531,0.117028596179971
"120",63,"Binoc",-0.2,0.519230769230769,-0.3400121617537,-0.122451502804498
"121",63,"Mono",-0.16,0.519230769230769,-0.224421522345968,-0.115852099354548
"122",64,"Binoc",-0.03,0.519230769230769,-0.0703366783376675,-0.00654145176559046
"123",64,"Mono",-0.03,0.519230769230769,-0.0396286111546848,0.0275690762432232
"124",65,"Binoc",0.01,0.519230769230769,-0.0474316216946074,0.0656023709456604
"125",65,"Mono",0.04,0.519230769230769,-0.0230366810690817,0.0948297346771881
